,name,release_point,speed,tt_home,label
0,CB_Ball_65.1_b_c.mp4,,65.1,634.6877419354838,155
45,CB_Ball_65.1_b_c.mp4,,65.1,634.6877419354838,165
15,CB_Ball_65.1_b_c.mp4,,65.1,634.6877419354838,185
30,CB_Ball_65.1_b_c.mp4,,65.1,634.6877419354838,175
31,CB_Strike_68.6_b_c.mp4,,68.6,602.3057142857143,185
1,CB_Strike_68.6_b_c.mp4,,68.6,602.3057142857143,165
46,CB_Strike_68.6_b_c.mp4,,68.6,602.3057142857143,175
16,CB_Strike_68.6_b_c.mp4,,68.6,602.3057142857143,155
32,CH_Ball_72.7_b_c.mp4,,72.7,568.337991746905,155
2,CH_Ball_72.7_b_c.mp4,,72.7,568.337991746905,175
47,CH_Ball_72.7_b_c.mp4,,72.7,568.337991746905,185
17,CH_Ball_72.7_b_c.mp4,,72.7,568.337991746905,165
33,CH_Ball_72.8_b_c.mp4,,72.8,567.5573076923077,165
48,CH_Ball_72.8_b_c.mp4,,72.8,567.5573076923077,155
18,CH_Ball_72.8_b_c.mp4,,72.8,567.5573076923077,175
3,CH_Ball_72.8_b_c.mp4,,72.8,567.5573076923077,185
34,FF_Ball_82.3_b_c.mp4,,82.3,502.0434021871203,175
19,FF_Ball_82.3_b_c.mp4,,82.3,502.0434021871203,185
4,FF_Ball_82.3_b_c.mp4,,82.3,502.0434021871203,155
49,FF_Ball_82.3_b_c.mp4,,82.3,502.0434021871203,165
50,FF_Ball_85.3_b_c.mp4,,85.3,484.38654161781943,175
20,FF_Ball_85.3_b_c.mp4,,85.3,484.38654161781943,155
35,FF_Ball_85.3_b_c.mp4,,85.3,484.38654161781943,185
5,FF_Ball_85.3_b_c.mp4,,85.3,484.38654161781943,165
21,FF_Strike_81.4_b_c.mp4,,81.4,507.59425061425054,165
36,FF_Strike_81.4_b_c.mp4,,81.4,507.59425061425054,155
51,FF_Strike_81.4_b_c.mp4,,81.4,507.59425061425054,185
6,FF_Strike_81.4_b_c.mp4,,81.4,507.59425061425054,175
37,FF_Strike_81.6_b_c.mp4,,81.6,506.35014705882355,165
22,FF_Strike_81.6_b_c.mp4,,81.6,506.35014705882355,175
52,FF_Strike_81.6_b_c.mp4,,81.6,506.35014705882355,155
7,FF_Strike_81.6_b_c.mp4,,81.6,506.35014705882355,185
53,FF_Strike_82.5_b_c.mp4,,82.5,500.82632727272727,165
23,FF_Strike_82.5_b_c.mp4,,82.5,500.82632727272727,185
38,FF_Strike_82.5_b_c.mp4,,82.5,500.82632727272727,175
8,FF_Strike_82.5_b_c.mp4,,82.5,500.82632727272727,155
9,FF_Strike_87.8_b_c.mp4,,87.8,470.5942141230068,165
54,FF_Strike_87.8_b_c.mp4,,87.8,470.5942141230068,175
24,FF_Strike_87.8_b_c.mp4,,87.8,470.5942141230068,155
39,FF_Strike_87.8_b_c.mp4,,87.8,470.5942141230068,185
55,SL_Ball_72.4_b_c.mp4,,72.4,570.6929834254144,185
25,SL_Ball_72.4_b_c.mp4,,72.4,570.6929834254144,165
10,SL_Ball_72.4_b_c.mp4,,72.4,570.6929834254144,175
40,SL_Ball_72.4_b_c.mp4,,72.4,570.6929834254144,155
41,SL_Ball_72.6_b_c.mp4,,72.6,569.1208264462811,165
56,SL_Ball_72.6_b_c.mp4,,72.6,569.1208264462811,155
26,SL_Ball_72.6_b_c.mp4,,72.6,569.1208264462811,175
11,SL_Ball_72.6_b_c.mp4,,72.6,569.1208264462811,185
42,SL_Strike_71.8_b_c.mp4,,71.8,575.4620055710307,175
57,SL_Strike_71.8_b_c.mp4,,71.8,575.4620055710307,165
12,SL_Strike_71.8_b_c.mp4,,71.8,575.4620055710307,155
27,SL_Strike_71.8_b_c.mp4,,71.8,575.4620055710307,185
43,SL_Strike_72.4_b_c.mp4,,72.4,570.6929834254144,185
58,SL_Strike_72.4_b_c.mp4,,72.4,570.6929834254144,175
28,SL_Strike_72.4_b_c.mp4,,72.4,570.6929834254144,155
13,SL_Strike_72.4_b_c.mp4,,72.4,570.6929834254144,165
29,SL_Strike_73.1_b_c.mp4,,73.1,565.2280711354309,165
14,SL_Strike_73.1_b_c.mp4,,73.1,565.2280711354309,175
44,SL_Strike_73.1_b_c.mp4,,73.1,565.2280711354309,155
59,SL_Strike_73.1_b_c.mp4,,73.1,565.2280711354309,185
