name,release,speed,time_to_home,swing_time,blackout_point,cut_video_path
Christian MacLeod/CB_Ball_78.4_b_c.mp4,4340.0,78.4,471.3588910176918,175,4636.358891017691,
Christian MacLeod/CB_Ball_78.4_b_c.mp4,4340.0,78.4,471.3588910176918,165,4646.358891017691,
Christian MacLeod/CH_Ball_85.3_b_c.mp4,5520.0,85.3,433.23021167393944,175,5778.230211673939,
Christian MacLeod/CH_Ball_85.3_b_c.mp4,5520.0,85.3,433.23021167393944,165,5788.230211673939,
Christian MacLeod/CH_Strike_84.7_b_c.mp4,4160.0,84.7,436.29913879323533,175,4421.299138793235,
Christian MacLeod/CH_Strike_84.7_b_c.mp4,4160.0,84.7,436.29913879323533,165,4431.299138793235,
Christian MacLeod/FF_Ball_91.3_b_c.mp4,3360.0,91.3,404.75944201300143,175,3589.7594420130013,
Christian MacLeod/FF_Ball_91.3_b_c.mp4,3360.0,91.3,404.75944201300143,165,3599.7594420130013,
Christian MacLeod/FF_Ball_91.8_b_c.mp4,7000.0,91.8,402.55486988874765,175,7227.554869888748,
Christian MacLeod/FF_Ball_91.8_b_c.mp4,7000.0,91.8,402.55486988874765,165,7237.554869888748,
Christian MacLeod/FF_Ball_92_b_c.mp4,5760.0,92.0,401.6797506063808,175,5986.679750606381,
Christian MacLeod/FF_Ball_92_b_c.mp4,5760.0,92.0,401.6797506063808,165,5996.679750606381,
Gabe Bierman/FF_Ball_88.3_b_c.mp4,3340.0,88.3,418.51117843473423,175,3583.511178434734,
Gabe Bierman/FF_Ball_88.3_b_c.mp4,3340.0,88.3,418.51117843473423,165,3593.511178434734,
Gabe Bierman/FF_Ball_92.7_b_c.mp4,4930.0,92.7,398.64657018108994,175,5153.64657018109,
Gabe Bierman/FF_Ball_92.7_b_c.mp4,4930.0,92.7,398.64657018108994,165,5163.64657018109,
Gabe Bierman/FF_Strike_91.8_b_c.mp4,4390.0,91.8,402.55486988874765,175,4617.554869888748,
Gabe Bierman/FF_Strike_91.8_b_c.mp4,4390.0,91.8,402.55486988874765,165,4627.554869888748,
Gabe Bierman/SL_Strike_83.5_b_c.mp4,3570.0,83.5,442.5693060573298,175,3837.56930605733,
Gabe Bierman/SL_Strike_83.5_b_c.mp4,3570.0,83.5,442.5693060573298,165,3847.56930605733,
Gabe Bierman/SL_Strike_86.5_b_c.mp4,3800.0,86.5,427.22008156979234,175,4052.2200815697925,
Gabe Bierman/SL_Strike_86.5_b_c.mp4,3800.0,86.5,427.22008156979234,165,4062.2200815697925,
Jarred Poland/CB_Strike_78_b_c.mp4,3960.0,78.0,473.77611609983376,175,4258.776116099833,
Jarred Poland/CB_Strike_78_b_c.mp4,3960.0,78.0,473.77611609983376,165,4268.776116099833,
Jarred Poland/CB_Strike_79.8_b_c.mp4,3280.0,79.8,463.08943678931126,175,3568.089436789311,
Jarred Poland/CB_Strike_79.8_b_c.mp4,3280.0,79.8,463.08943678931126,165,3578.089436789311,
Jarred Poland/CH_Ball_82.9_b_c.mp4,4810.0,82.9,445.7724614690836,175,5080.772461469083,
Jarred Poland/CH_Ball_82.9_b_c.mp4,4810.0,82.9,445.7724614690836,165,5090.772461469083,
Jarred Poland/CH_Strike_82.7_b_c.mp4,5480.0,82.7,446.85050853430516,175,5751.850508534305,
Jarred Poland/CH_Strike_82.7_b_c.mp4,5480.0,82.7,446.85050853430516,165,5761.850508534305,
Jarred Poland/FF_Ball_90.2_b_c.mp4,7040.0,90.2,409.69553276925757,175,7274.695532769258,
Jarred Poland/FF_Ball_90.2_b_c.mp4,7040.0,90.2,409.69553276925757,165,7284.695532769258,
Jarred Poland/FF_Ball_91_b_c.mp4,3990.0,91.0,406.09381379985757,175,4221.093813799857,
Jarred Poland/FF_Ball_91_b_c.mp4,3990.0,91.0,406.09381379985757,165,4231.093813799857,
Jarred Poland/FF_Strike_90.8_b_c.mp4,3880.0,90.8,406.98829356593654,175,4111.988293565936,
Jarred Poland/FF_Strike_90.8_b_c.mp4,3880.0,90.8,406.98829356593654,165,4121.988293565936,
Ryan Bergert/FF_Ball_92.5_b_c.mp4,4990.0,92.5,399.50850871121116,175,5214.508508711211,
Ryan Bergert/FF_Ball_92.5_b_c.mp4,4990.0,92.5,399.50850871121116,165,5224.508508711211,
Ryan Bergert/FF_Strike_92.4_b_c.mp4,5290.0,92.4,399.9408772271324,175,5514.940877227133,
Ryan Bergert/FF_Strike_92.4_b_c.mp4,5290.0,92.4,399.9408772271324,165,5524.940877227133,
Ryan Bergert/FF_Strike_92_b_c.mp4,4290.0,92.0,401.6797506063808,175,4516.679750606381,
Ryan Bergert/FF_Strike_92_b_c.mp4,4290.0,92.0,401.6797506063808,165,4526.679750606381,
Ryan Bergert/SL_Ball_83.7_b_c.mp4,5780.0,83.7,441.51179278120713,175,6046.511792781207,
Ryan Bergert/SL_Ball_83.7_b_c.mp4,5780.0,83.7,441.51179278120713,165,6056.511792781207,
Ryan Bergert/SL_Ball_84.4_b_c.mp4,6120.0,84.4,437.84996511596006,175,6382.84996511596,
Ryan Bergert/SL_Ball_84.4_b_c.mp4,6120.0,84.4,437.84996511596006,165,6392.84996511596,
Victor Lizarraga/FF_Ball_93.1_b_c.mp4,2910.0,93.1,396.93380296226684,175,3131.933802962267,
Victor Lizarraga/FF_Ball_93.1_b_c.mp4,2910.0,93.1,396.93380296226684,165,3141.933802962267,
Victor Lizarraga/FF_Ball_93.2_b_c.mp4,7060.0,93.2,396.5079083238952,175,7281.507908323895,
Victor Lizarraga/FF_Ball_93.2_b_c.mp4,7060.0,93.2,396.5079083238952,165,7291.507908323895,
Victor Lizarraga/FF_Strike_92.6_b_c.mp4,4960.0,92.6,399.0770740365771,175,5184.077074036577,
Victor Lizarraga/FF_Strike_92.6_b_c.mp4,4960.0,92.6,399.0770740365771,165,5194.077074036577,
Victor Lizarraga/FF_Strike_92_b_c.mp4,7790.0,92.0,401.6797506063808,175,8016.679750606381,
Victor Lizarraga/FF_Strike_92_b_c.mp4,7790.0,92.0,401.6797506063808,165,8026.679750606381,
Victor Lizarraga/SL_Strike_79_b_c.mp4,5230.0,79.0,467.7789500732536,175,5522.778950073253,
Victor Lizarraga/SL_Strike_79_b_c.mp4,5230.0,79.0,467.7789500732536,165,5532.778950073253,
Victor Lizarraga/SL_Strike_80.6_b_c.mp4,6430.0,80.6,458.4930155804844,175,6713.493015580484,
Victor Lizarraga/SL_Strike_80.6_b_c.mp4,6430.0,80.6,458.4930155804844,165,6723.493015580484,
Victor Lizarraga/SL_Strike_80_b_c.mp4,2690.0,80.0,461.93171319733796,175,2976.931713197338,
Victor Lizarraga/SL_Strike_80_b_c.mp4,2690.0,80.0,461.93171319733796,165,2986.931713197338,
Zach King/CB_Ball_76.5_b_c.mp4,5050.0,76.5,483.0658438664972,175,5358.065843866497,
Zach King/CB_Ball_76.5_b_c.mp4,5050.0,76.5,483.0658438664972,165,5368.065843866497,
Zach King/CB_Ball_77.5_b_c.mp4,2400.0,77.5,476.8327362037037,175,2701.8327362037035,
Zach King/CB_Ball_77.5_b_c.mp4,2400.0,77.5,476.8327362037037,165,2711.8327362037035,
Zach King/CB_Ball_78.1_b_c.mp4,1860.0,78.1,473.16948855041016,175,2158.1694885504103,
Zach King/CB_Ball_78.1_b_c.mp4,1860.0,78.1,473.16948855041016,165,2168.1694885504103,
Zach King/CB_Ball_78_b_c.mp4,3440.0,78.0,473.77611609983376,175,3738.776116099834,
Zach King/CB_Ball_78_b_c.mp4,3440.0,78.0,473.77611609983376,165,3748.776116099834,
Zach King/FF_Ball_89.6_b_c.mp4,3250.0,89.6,412.4390296404803,175,3487.4390296404804,
Zach King/FF_Ball_89.6_b_c.mp4,3250.0,89.6,412.4390296404803,165,3497.4390296404804,
Zach King/FF_Strike_91.6_b_c.mp4,5020.0,91.6,403.4338106526969,175,5248.433810652697,
Zach King/FF_Strike_91.6_b_c.mp4,5020.0,91.6,403.4338106526969,165,5258.433810652697,
